TX_HOMICIDIO_100MIL,MUNICIPIO,REGIAO,TX_MORTALID_INFANTIL,QT_ESTABEL_SUS,TX_ESGOTO,TX_URBANIZACAO,QT_ESTABEL_SAUDE,TX_DESEMP_16MAIS,IDH,TX_ESCOLA_6A14ANOS,IDEB_EF_PUBLICO,IDEB_EM_PUBLICO,TX_ANALFAB,TX_PESSOAL_OCUP,TX_GASTOS_RJ,TX_MATRICUL_RJ,TX_DOCENTES_RJ,TX_ESCOLAS_RJ,PIB_PERCAPITA
43.18,Duque de Caxias,METROPOLITANA,14.35,82,85.3,68.2,654,10.79,0.711,96.1,4.6,3.6,4.8,18.232167886622022,5.352620550187911,5.833789821967505,0.054267669617245495,5.447783696853955,44986.7672480922
22.19,Engenheiro Paulo de Frontin,CENTRO SUL,8.26,12,63,18.5,19,12.82,0.722,98.5,5.4,4.2,5.9,15.300973633714731,0.18431973293748558,0.08272691982543309,8.987159442057444e-4,0.09046135289978892,18506.769312770946
47.28,Guapimirim,METROPOLITANA,9.46,11,68.5,49.7,38,12.65,0.698,97.6,5,3.8,8.5,12.176646901674594,0.6025601900680592,0.32088484651766314,0.0030531719748359536,0.3115891044326063,15904.00928520232
18.82,Iguaba Grande,BAIXADA LITORANEA,24.93,14,85.8,14.4,29,13.48,0.761,98.1,6.1,4.1,4.3,12.494364878454762,0.24249373502738966,0.1944044066540816,0.0019020768956135275,0.16082018293295808,16965.853140063115
46.8,Itaboraí,METROPOLITANA,10.19,62,65.2,10.6,214,11.05,0.693,97.1,4.9,3.6,6.4,12.750316438734574,2.1769323939958842,1.478560582434523,0.015622884016398489,1.5478942607297215,18449.4189813765
59.58,Itaguaí,METROPOLITANA,15.86,27,77.5,54.1,153,11.81,0.715,97.6,4.6,3.6,5.6,20.68847862689977,0.8830201159330704,0.8961183496095143,0.010723035443879498,0.9146647904311991,59742.45040387483
6.83,Italva,NOROESTE,6.41,13,73.1,29.4,21,8.2,0.688,98.6,5.6,5.1,10.3,13.765605595136938,0.14451646834965648,0.07613497980206448,0.001231117731788691,0.14071766006633832,20029.979475782733
26.39,Itaocara,NOROESTE,14.44,14,71.7,37,36,7.23,0.713,99.6,5.8,4.8,10.9,18.973387305141674,0.14267939459944898,0.13465290351828416,0.002055966612087114,0.3115891044326063,23367.170054258888
12.06,Itaperuna,NOROESTE,11.05,46,88.1,31.9,354,6.81,0.73,96.1,6.4,5.1,7,22.557803468208093,0.23759487169350302,0.5735758807467936,0.007109704901079691,0.8141521760981003,26854.457938342966
39.38,Itatiaia,MEDIO PARAIBA,13.86,11,88.4,36.1,47,7.77,0.737,98.2,5.7,4.4,7,32.734530938123754,0.2541285354453705,0.1622927923881982,0.001705098058527337,0.14071766006633832,153811.1213510479
85.52,Japeri,METROPOLITANA,16.21,15,68.3,26.8,30,10.92,0.659,96.6,4.5,3.8,7.4,7.39379239777163,1.1763395580495342,0.6496723111919962,0.005780097750747904,0.5126143330988039,13617.868893773448
0,Laje do Muriaé,NOROESTE,16.67,8,70.6,17.2,12,10.62,0.668,98,5,3.8,14.1,14.01856401856402,0.07715709750871488,0.046413425661612974,7.263594617553276e-4,0.06030756859985928,18579.997815997816
45.93,Macaé,NORTE,11.97,83,82.3,50.1,766,7.2,0.764,96.9,5.9,4.5,4.1,45.62391730815561,0.9111885801029187,1.5582421030678735,0.016546222315240007,1.2262538948638053,58912.28572739684
